scenario_id,repetition_id,run_folder,num_agents,network_type,preference_model,prop_stubborn,prop_strategic,prop_mixed,avg_degree,seed
D5,9,Urn_BA_D5_N1000_run_009,1000,barabasi_albert,Urn,0.2,0.3,0.5,10,42
D5,10,Urn_BA_D5_N1000_run_010,1000,barabasi_albert,Urn,0.2,0.3,0.5,10,42
D5,1,Urn_BA_D5_N3000_run_001,3000,barabasi_albert,Urn,0.2,0.3,0.5,10,42
D5,1,Urn_BA_D5_N5000_run_001,5000,barabasi_albert,Urn,0.2,0.3,0.5,10,42
D1,1,Urn_ER_D1_N1000_run_001,1000,erdos_renyi,Urn,0.6,0.2,0.2,10,42
D1,2,Urn_ER_D1_N1000_run_002,1000,erdos_renyi,Urn,0.6,0.2,0.2,10,42
D1,3,Urn_ER_D1_N1000_run_003,1000,erdos_renyi,Urn,0.6,0.2,0.2,10,42
D1,4,Urn_ER_D1_N1000_run_004,1000,erdos_renyi,Urn,0.6,0.2,0.2,10,42
D1,5,Urn_ER_D1_N1000_run_005,1000,erdos_renyi,Urn,0.6,0.2,0.2,10,42
D1,6,Urn_ER_D1_N1000_run_006,1000,erdos_renyi,Urn,0.6,0.2,0.2,10,42
D1,7,Urn_ER_D1_N1000_run_007,1000,erdos_renyi,Urn,0.6,0.2,0.2,10,42
D1,8,Urn_ER_D1_N1000_run_008,1000,erdos_renyi,Urn,0.6,0.2,0.2,10,42
D1,9,Urn_ER_D1_N1000_run_009,1000,erdos_renyi,Urn,0.6,0.2,0.2,10,42
D1,10,Urn_ER_D1_N1000_run_010,1000,erdos_renyi,Urn,0.6,0.2,0.2,10,42
D1,1,Urn_ER_D1_N3000_run_001,3000,erdos_renyi,Urn,0.6,0.2,0.2,10,42
D1,1,Urn_ER_D1_N5000_run_001,5000,erdos_renyi,Urn,0.6,0.2,0.2,10,42
D2,1,Urn_ER_D2_N1000_run_001,1000,erdos_renyi,Urn,0.4,0.3,0.3,10,42
D2,2,Urn_ER_D2_N1000_run_002,1000,erdos_renyi,Urn,0.4,0.3,0.3,10,42
D2,3,Urn_ER_D2_N1000_run_003,1000,erdos_renyi,Urn,0.4,0.3,0.3,10,42
D2,4,Urn_ER_D2_N1000_run_004,1000,erdos_renyi,Urn,0.4,0.3,0.3,10,42
D2,5,Urn_ER_D2_N1000_run_005,1000,erdos_renyi,Urn,0.4,0.3,0.3,10,42
D2,6,Urn_ER_D2_N1000_run_006,1000,erdos_renyi,Urn,0.4,0.3,0.3,10,42
D2,7,Urn_ER_D2_N1000_run_007,1000,erdos_renyi,Urn,0.4,0.3,0.3,10,42
D2,8,Urn_ER_D2_N1000_run_008,1000,erdos_renyi,Urn,0.4,0.3,0.3,10,42
D2,9,Urn_ER_D2_N1000_run_009,1000,erdos_renyi,Urn,0.4,0.3,0.3,10,42
D2,10,Urn_ER_D2_N1000_run_010,1000,erdos_renyi,Urn,0.4,0.3,0.3,10,42
D2,1,Urn_ER_D2_N3000_run_001,3000,erdos_renyi,Urn,0.4,0.3,0.3,10,42
D2,1,Urn_ER_D2_N5000_run_001,5000,erdos_renyi,Urn,0.4,0.3,0.3,10,42
D3,1,Urn_ER_D3_N1000_run_001,1000,erdos_renyi,Urn,0.3,0.4,0.3,10,42
D3,2,Urn_ER_D3_N1000_run_002,1000,erdos_renyi,Urn,0.3,0.4,0.3,10,42
D3,3,Urn_ER_D3_N1000_run_003,1000,erdos_renyi,Urn,0.3,0.4,0.3,10,42
D3,4,Urn_ER_D3_N1000_run_004,1000,erdos_renyi,Urn,0.3,0.4,0.3,10,42
D3,5,Urn_ER_D3_N1000_run_005,1000,erdos_renyi,Urn,0.3,0.4,0.3,10,42
D3,6,Urn_ER_D3_N1000_run_006,1000,erdos_renyi,Urn,0.3,0.4,0.3,10,42
D3,7,Urn_ER_D3_N1000_run_007,1000,erdos_renyi,Urn,0.3,0.4,0.3,10,42
D3,8,Urn_ER_D3_N1000_run_008,1000,erdos_renyi,Urn,0.3,0.4,0.3,10,42
D3,9,Urn_ER_D3_N1000_run_009,1000,erdos_renyi,Urn,0.3,0.4,0.3,10,42
D3,10,Urn_ER_D3_N1000_run_010,1000,erdos_renyi,Urn,0.3,0.4,0.3,10,42
D3,1,Urn_ER_D3_N3000_run_001,3000,erdos_renyi,Urn,0.3,0.4,0.3,10,42
D3,1,Urn_ER_D3_N5000_run_001,5000,erdos_renyi,Urn,0.3,0.4,0.3,10,42
D4,1,Urn_ER_D4_N1000_run_001,1000,erdos_renyi,Urn,0.2,0.6,0.2,10,42
